game,session_id,avg_decision_time,decision_time_variance,move_accuracy,error_rate,pattern_success_rate,consistency_score,optimal_play_rate,strategic_move_rate,strategic_depth,memory_accuracy,logical_reasoning,improvement_rate,win_rate,skill_tier,performance_score,outcome
checkers,ck_0,3718.9,1084907.3,0.6326,0.448,0.4014,0.5433,0.6395,0.6667,0.6292,0.5196,0.6725,0.0463,0.6158,2,61.46,win
checkers,ck_1,2266.5,772699.9,0.6003,0.3512,0.4949,0.6996,0.4697,0.4265,0.4822,0.8121,0.6318,0.0351,0.5578,2,55.93,win
checkers,ck_2,2705.5,1218101.5,0.672,0.2666,0.5568,0.7115,0.4353,0.4051,0.6046,0.2978,0.4973,0.0166,0.5812,3,62.08,win
checkers,ck_3,4549.8,1882811.0,0.5195,0.5034,0.5629,0.4588,0.365,0.4011,0.39,0.6144,0.4557,-0.0128,0.3539,1,43.89,loss
checkers,ck_4,2306.0,209385.5,0.4208,0.6829,0.3262,0.3551,0.3058,0.2176,0.3922,0.3932,0.4209,0.0074,0.4975,1,38.04,loss
checkers,ck_5,3923.0,636072.0,0.4082,0.6588,0.6993,0.3317,0.38,0.39,0.5915,0.6925,0.5295,-0.0537,0.3916,1,45.28,loss
checkers,ck_6,4064.2,855995.7,0.8202,0.1785,0.4905,0.7189,0.4979,0.4343,0.4664,0.5255,0.5503,0.0691,0.6116,1,62.78,win
checkers,ck_7,1889.3,1914559.5,0.8742,0.0515,0.7443,0.7756,0.7624,0.7436,0.8749,0.5657,0.7565,0.0422,0.7446,4,83.79,win
checkers,ck_8,3962.7,1131154.3,0.819,0.1504,0.497,0.6647,0.7455,0.815,0.6457,0.4362,0.5484,0.0554,0.6862,2,71.65,win
checkers,ck_9,6005.0,1557114.0,0.2438,0.7189,0.5278,0.4802,0.328,0.3211,0.4354,0.505,0.3542,0.0221,0.3195,0,37.08,loss
checkers,ck_10,4083.7,1352274.4,0.5958,0.3665,0.6037,0.5738,0.4813,0.4481,0.4753,0.9533,0.4152,-0.0247,0.5743,2,53.21,win
