game,session_id,avg_decision_time,decision_time_variance,move_accuracy,error_rate,pattern_success_rate,consistency_score,optimal_play_rate,strategic_move_rate,strategic_depth,memory_accuracy,logical_reasoning,improvement_rate,win_rate,skill_tier,performance_score,outcome
color_wars,cw_0,3191.5,645997.9,0.6626,0.418,0.6792,0.5779,0.587,0.587,0.4185,0.6586,0.669,0.0302,0.6703,2,61.48,win
color_wars,cw_1,2862.4,254137.0,0.5822,0.3407,0.6111,0.508,0.4567,0.4567,0.7475,0.4691,0.5544,0.0599,0.5144,2,60.23,win
color_wars,cw_2,3057.6,772742.1,0.4829,0.4621,0.4911,0.4753,0.4859,0.4859,0.3717,0.3174,0.4806,0.0008,0.5234,0,46.75,win
color_wars,cw_3,2402.1,488612.0,0.8352,0.1598,0.6698,0.7671,0.647,0.647,0.6069,0.7248,0.599,0.0062,0.7189,3,72.94,win
color_wars,cw_4,3420.6,846768.0,0.444,0.5366,0.5832,0.499,0.147,0.147,0.4907,0.4603,0.7242,-0.0143,0.5645,1,51.07,win
color_wars,cw_5,3939.5,523107.7,0.5853,0.4109,0.3056,0.5196,0.3794,0.3794,0.5748,0.5369,0.3178,0.0631,0.3303,1,47.27,loss
color_wars,cw_6,3715.2,132770.3,0.6284,0.4377,0.4527,0.61,0.5434,0.5434,0.4112,0.4328,0.739,0.024,0.5862,1,53.06,win
color_wars,cw_7,2385.1,887208.4,0.7544,0.123,0.8215,0.9363,0.5042,0.5042,0.4311,0.6491,0.7328,0.0043,0.5997,3,76.58,win
color_wars,cw_8,2993.1,1054980.8,0.4623,0.5596,0.4192,0.6054,0.3675,0.3675,0.3931,0.5553,0.5374,0.1046,0.3518,1,46.55,loss
color_wars,cw_9,3972.6,1120590.5,0.7472,0.1686,0.7362,0.684,0.5477,0.5477,0.6384,0.6358,0.6582,0.0796,0.5366,2,71.44,win
color_wars,cw_10,4119.9,695780.0,0.573,0.4201,0.6417,0.563,0.4552,0.4552,0.5883,0.6494,0.4632,0.0578,0.5309,1,59.73,win
color_wars,cw_11,3846.5,659684.9,0.6796,0.3162,0.802,0.6574,0.81,0.81,0.5578,0.5642,0.6609,0.0457,0.722,2,69.97,win
color_wars,cw_12,3857.1,829255.1,0.4619,0.557,0.3885,0.3972,0.5413,0.5413,0.3802,0.5108,0.3332,0.0377,0.3909,1,41.1,loss
color_wars,cw_13,1529.1,603067.6,0.849,0.1706,0.906,0.6951,0.6514,0.6514,0.7601,0.747,0.708,0.0172,0.6443,4,82.48,win
color_wars,cw_14,1329.6,1114057.5,0.9294,0.1548,0.9214,0.8837,0.5584,0.5584,0.8178,0.6972,0.8215,0.0548,0.6462,4,90.07,win
color_wars,cw_15,3832.5,319397.0,1,0.0678,0.6695,0.637,0.6133,0.6133,0.7756,0.6845,0.665,0.0137,0.755,2,77.81,win
color_wars,cw_16,3987.3,412312.8,0.4928,0.4534,0.5282,0.3298,0.523,0.523,0.6337,0.5026,0.5168,0.0023,0.5902,1,49.37,win
color_wars,cw_17,2759.8,288124.0,0.6496,0.2994,0.5743,0.5568,0.443,0.443,0.5798,0.5272,0.5837,-0.0246,0.4627,2,59.42,loss
color_wars,cw_18,3825.6,882134.8,0.6438,0.4234,0.6034,0.5522,0.3811,0.3811,0.4909,0.6137,0.5235,0.0142,0.5663,1,58.84,win
color_wars,cw_19,3580.4,318732.8,0.6231,0.3772,0.7001,0.6105,0.5671,0.5671,0.2726,0.5991,0.6713,0.0161,0.8309,2,59.5,win
color_wars,cw_20,2818.8,415304.2,0.7271,0.3521,0.8058,0.7042,0.6815,0.6815,0.5517,0.837,0.7047,0.0286,0.5713,3,72.38,win
color_wars,cw_21,4815.6,375662.0,0.3927,0.5696,0.0572,0.2483,0.2383,0.2383,0.1086,0.4145,0.2227,-0.0616,0.2013,0,20.38,loss
color_wars,cw_22,2293.0,90830.1,0.826,0.1781,0.8202,0.8062,0.5833,0.5833,0.551,0.56,0.8553,0.0115,0.925,3,77.88,win
color_wars,cw_23,1512.4,1043986.9,0.809,0.1664,0.9272,0.8029,0.647,0.647,0.8161,0.6078,0.9139,0.0471,0.7465,4,85.02,win
color_wars,cw_24,4409.9,1067186.1,0.6048,0.3613,0.589,0.5543,0.6437,0.6437,0.5136,0.7249,0.4941,0.0141,0.6978,1,57.55,win
color_wars,cw_25,3193.4,1041624.4,0.6633,0.3966,0.4753,0.4617,0.673,0.673,0.4667,0.6151,0.609,0.0377,0.6844,1,52.77,win
color_wars,cw_26,3021.5,527639.8,0.8175,0.1933,0.5395,0.6995,0.7624,0.7624,0.6072,0.4937,0.3704,0.0813,0.7198,2,66.51,win
color_wars,cw_27,2315.6,431318.6,0.9993,0.0563,0.8727,1,0.7473,0.7473,0.719,0.7509,0.6424,-0.0126,0.762,4,91.31,win
color_wars,cw_28,3788.1,158370.7,0.4645,0.5327,0.382,0.5239,0.3473,0.3473,0.3732,0.3955,0.2882,-0.0084,0.3309,1,43.38,loss
color_wars,cw_29,2758.4,550899.9,0.5921,0.3945,0.3732,0.5607,0.5105,0.5105,0.3388,0.4866,0.3994,0.081,0.3684,1,47.12,loss
color_wars,cw_30,1690.5,319345.6,0.8719,0.1277,0.8484,0.8058,0.4953,0.4953,0.8122,0.5687,0.6877,0.0344,0.5608,4,84.15,win
color_wars,cw_31,2484.3,331597.5,0.7963,0.1333,0.7789,0.7487,0.7367,0.7367,0.5731,0.49,0.6961,0.0278,0.7291,3,74.72,win
color_wars,cw_32,4542.5,86210.2,0.5303,0.4926,0.2577,0.3821,0.3796,0.3796,0.3067,0.3844,0.2422,0.0834,0.342,1,37.17,loss
color_wars,cw_33,4781.9,977586.6,0.2835,0.7748,0.0943,0.2042,0.2936,0.2936,0.3285,0.2071,0.2672,-0.0338,0,0,20.81,loss
color_wars,cw_34,2152.2,370294.5,0.5849,0.3633,0.8004,0.512,0.2472,0.2472,0.6746,0.6457,0.6597,-0.0204,0.6367,2,65.92,win
color_wars,cw_35,2206.3,234978.9,0.6687,0.3282,0.864,0.7617,0.5788,0.5788,0.7007,0.7949,0.7125,0.0322,0.8523,3,76.04,win
color_wars,cw_36,1800.1,937465.9,0.8121,0.1741,0.8253,0.8086,0.6968,0.6968,0.7958,0.5965,0.6681,-0.0493,0.7296,3,81.36,win
color_wars,cw_37,2232.5,325752.2,0.5043,0.5456,0.4574,0.4611,0.2769,0.2769,0.4725,0.4361,0.4252,0.0161,0.4399,1,47.45,loss
color_wars,cw_38,4256.9,799879.6,0.4081,0.6402,0.4062,0.4942,0.4435,0.4435,0.544,0.4315,0.4478,0.0213,0.4396,1,44.5,loss
color_wars,cw_39,4974.9,171735.0,0.29,0.6707,0.4006,0.4751,0.389,0.389,0.3192,0.3839,0.4604,0.0744,0.3314,0,37.01,loss
color_wars,cw_40,1799.1,829793.9,0.9586,0,0.8374,0.8695,0.6815,0.6815,0.4581,0.6986,0.7516,0.042,0.7376,4,82.33,win
color_wars,cw_41,2578.1,108759.8,0.6564,0.2787,0.5726,0.5244,0.6158,0.6158,0.6827,0.5258,0.5881,0.0022,0.688,2,60.46,win
color_wars,cw_42,2176.2,1181905.7,0.9479,0.0873,0.8169,0.8249,0.6962,0.6962,0.6569,0.6174,0.5675,0.013,0.8064,4,83.38,win
color_wars,cw_43,3603.9,1008152.2,0.5684,0.3788,0.5096,0.6689,0.3986,0.3986,0.5265,0.4701,0.6169,0.0137,0.379,2,56.16,loss
