game,session_id,avg_decision_time,decision_time_variance,move_accuracy,error_rate,pattern_success_rate,consistency_score,optimal_play_rate,strategic_move_rate,strategic_depth,memory_accuracy,logical_reasoning,improvement_rate,win_rate,skill_tier,performance_score,outcome
memory_match,mm_0,3587.9,807497.4,0.7639,0.1763,0.6274,0.5854,0.4919,0.4919,0.3895,0.7292,0.667,0.0352,0.649,2,67.93,win
memory_match,mm_1,3025.6,317671.3,0.5517,0.4294,0.5803,0.5353,0.3674,0.3674,0.3074,0.6611,0.5453,0.0649,0.5048,2,60.26,win
memory_match,mm_2,6607.3,965927.7,0.4524,0.4293,0.1558,0.4939,0.2891,0.2891,0.3961,0.5092,0.2416,0.0058,0.4921,0,40.63,loss
memory_match,mm_3,2844.8,610765.1,0.6549,0.3027,0.7663,0.6715,0.395,0.395,0.3459,0.6998,0.7631,0.0112,0.6098,3,71.39,win
memory_match,mm_4,4051.9,1058460.0,0.5872,0.3372,0.4026,0.587,0.5874,0.5874,0.0806,0.6332,0.4506,-0.0093,0.6019,1,55.77,win
memory_match,mm_5,5182.4,653884.7,0.3807,0.7401,0.4674,0.4537,0.1557,0.1557,0.2282,0.3556,0.5075,0.0681,0.2278,1,39.92,loss
memory_match,mm_6,5526.8,165962.9,0.5682,0.467,0.4394,0.5666,0.6418,0.6418,0.3664,0.5027,0.4487,0.029,0.5107,1,49.95,win
memory_match,mm_7,2340.1,1109010.5,0.6586,0.0177,0.7636,0.9265,0.5206,0.5206,0.2516,0.8515,0.7314,0.0093,0.5683,3,85.32,win
memory_match,mm_8,4198.7,1318726.0,0.4973,0.5016,0.3491,0.635,0.399,0.399,0.2901,0.4692,0.4632,0.1096,0.3326,1,46.93,loss
memory_match,mm_9,4180.4,1400738.1,0.6448,0.2122,0.7389,0.6663,0.4628,0.4628,0.2994,0.7862,0.7142,0.0846,0.4986,2,74.82,loss
memory_match,mm_10,5084.2,869725.0,0.6464,0.31,0.49,0.604,0.245,0.245,0.3113,0.6917,0.5918,0.0628,0.5342,1,61.35,win
memory_match,mm_11,3707.2,824606.2,0.7774,0.0863,0.7209,0.6932,0.448,0.448,0.6022,0.852,0.6727,0.0507,0.7308,2,78.71,win
memory_match,mm_12,4195.2,1036568.9,0.4697,0.535,0.4571,0.4178,0.1522,0.1522,0.4642,0.4385,0.4934,0.0427,0.3627,1,44.26,loss
memory_match,mm_13,1391.8,753834.5,0.8604,0.0823,0.8507,0.6564,0.4603,0.4603,0.342,0.926,0.8252,0.0222,0.5925,4,84.86,win
memory_match,mm_14,2035.4,1392571.8,0.9373,0.0911,0.8165,0.8094,0.598,0.598,0.2007,0.9414,0.7839,0.0598,0.5669,4,87.43,win
memory_match,mm_15,6030.2,399246.2,0.7434,0.3674,0.7189,0.4729,0.4896,0.4896,0.2133,0.7195,0.7252,0.0187,0.5959,2,66.13,win
memory_match,mm_16,4442.1,515391.0,0.5087,0.4802,0.4734,0.3769,0.3432,0.3432,0.4273,0.5782,0.5044,0.0073,0.5916,1,50.06,win
memory_match,mm_17,3496.9,360154.9,0.5484,0.3933,0.5657,0.5393,0.4142,0.4142,0.2532,0.6243,0.5652,-0.0196,0.4151,2,58.8,loss
memory_match,mm_18,5650.4,1102668.5,0.6898,0.3111,0.4532,0.5463,0.331,0.331,0.1948,0.6534,0.5536,0.0192,0.5298,1,57.55,win
memory_match,mm_19,3311.4,398416.0,0.7003,0.0761,0.6829,0.644,0.4891,0.4891,0.3932,0.7501,0.666,0.0211,0.8317,2,72.61,win
memory_match,mm_20,2169.6,519130.3,0.8479,0.0984,0.833,0.7034,0.4898,0.4898,0.4452,0.8358,0.8593,0.0336,0.5462,3,81.5,win
memory_match,mm_21,5856.1,469577.5,0.1805,0.7894,0.3316,0.2324,0.1294,0.1294,0.2027,0.1477,0.378,-0.0566,0.1338,0,22.61,loss
memory_match,mm_22,2787.6,113537.6,0.7844,0.0792,0.7489,0.7602,0.6741,0.6741,0.2877,0.8502,0.6794,0.0165,0.8647,3,80.89,win
memory_match,mm_23,1072.1,1304983.6,0.8331,0.0827,0.8478,0.7906,0.7119,0.7119,0.3616,0.9472,0.7552,0.0521,0.717,4,88.31,win
memory_match,mm_24,5338.1,1333982.7,0.5772,0.3411,0.5262,0.5636,0.2981,0.2981,0.4809,0.639,0.645,0.0191,0.6726,1,59.21,win
memory_match,mm_25,5806.3,1302030.6,0.5802,0.4654,0.3742,0.4077,0.473,0.473,0.475,0.5253,0.5084,0.0427,0.6017,1,45.74,win
memory_match,mm_26,4672.7,659549.7,0.5824,0.4523,0.6031,0.5876,0.1571,0.1571,0.4719,0.5895,0.5653,0.0863,0.5947,2,58.9,win
memory_match,mm_27,2594.6,539148.2,0.8697,0.105,0.9855,0.9596,0.3876,0.3876,0.3477,0.8927,0.8928,-0.0076,0.6401,4,93.42,win
memory_match,mm_28,4216.1,197963.3,0.4428,0.5399,0.4485,0.5412,0.0976,0.0976,0.2686,0.432,0.4311,-0.0034,0.2997,1,46.16,loss
memory_match,mm_29,5237.1,688624.9,0.4252,0.5343,0.3198,0.5116,0.2391,0.2391,0.3552,0.4232,0.4119,0.086,0.2835,1,41.41,loss
memory_match,mm_30,1575.3,399182.0,0.7943,0.1832,0.8784,0.7384,0.4508,0.4508,0.1722,0.8684,0.747,0.0394,0.4826,4,84.02,loss
memory_match,mm_31,2601.8,414496.9,0.6766,0.144,0.7795,0.7052,0.4864,0.4864,0.4589,0.8089,0.6577,0.0328,0.6682,3,78.4,win
memory_match,mm_32,4742.3,107762.7,0.369,0.6684,0.5428,0.3293,0.0744,0.0744,0.2614,0.3077,0.4665,0.0884,0.2472,1,38.49,loss
memory_match,mm_33,4945.5,1221983.2,0.3011,0.8574,0.3282,0.2498,0.1711,0.1711,0.3235,0.1785,0.2727,-0.0288,0,0,23.41,loss
memory_match,mm_34,3044.5,462868.2,0.7285,0.1467,0.4789,0.5946,0.4471,0.4471,0.0963,0.8504,0.5923,-0.0154,0.6828,2,68.81,win
memory_match,mm_35,1804.3,293723.7,0.8121,0.0972,0.735,0.8075,0.4835,0.4835,0.3776,0.894,0.7921,0.0372,0.868,3,82.99,win
memory_match,mm_36,2700.9,1171832.4,0.7705,0.195,0.67,0.7711,0.4386,0.4386,0.4095,0.8553,0.6585,-0.0443,0.6763,3,77.78,win
memory_match,mm_37,4534.2,407190.3,0.5558,0.4916,0.2541,0.4811,0.2482,0.2482,0.1743,0.5074,0.3579,0.0211,0.4155,1,42.63,loss
memory_match,mm_38,3765.1,999849.5,0.5132,0.594,0.5071,0.5469,0.2906,0.2906,0.3987,0.4562,0.4796,0.0263,0.4382,1,48.46,loss
memory_match,mm_39,4999.9,214668.7,0.4078,0.5056,0.3475,0.5736,0.2978,0.2978,0.415,0.4338,0.3707,0.0794,0.3622,0,44.19,loss
memory_match,mm_40,2269.1,1037242.4,0.7147,0.0204,0.897,0.7554,0.5337,0.5337,0.3063,0.8574,0.8207,0.047,0.6214,4,86.11,win
