game,session_id,avg_decision_time,decision_time_variance,move_accuracy,error_rate,pattern_success_rate,consistency_score,optimal_play_rate,strategic_move_rate,strategic_depth,memory_accuracy,logical_reasoning,improvement_rate,win_rate,skill_tier,performance_score,outcome
word_chain,wc_0,3600.4,1362317.2,0.7322,0.1165,0.6926,0.5458,0.5086,0.5086,0.4816,0.5848,0.6474,0.0463,0.616,2,66.03,win
word_chain,wc_1,3342.7,974167.5,0.4606,0.5453,0.4469,0.747,0.5066,0.5066,0.2704,0.721,0.4658,0.0351,0.4905,2,53.02,loss
word_chain,wc_2,1839.7,1527909.9,0.5935,0.3934,0.4951,0.7135,0.271,0.271,0.3094,0.419,0.7474,0.0166,0.5643,3,67.21,win
word_chain,wc_3,5195.4,2354305.6,0.4824,0.6295,0.426,0.4952,0.3398,0.3398,0.5083,0.5523,0.485,-0.0128,0.2951,1,47.03,loss
word_chain,wc_4,4207.8,273830.6,0.4972,0.4241,0.2556,0.4398,0.3328,0.3328,0.1354,0.4057,0.2606,0.0074,0.434,1,39.84,loss
word_chain,wc_5,4082.2,804305.7,0.6286,0.4796,0.3698,0.4449,0.4234,0.4234,0.4301,0.6849,0.4223,-0.0537,0.4252,1,54.37,loss
word_chain,wc_6,8201.8,1077724.4,0.4895,0.5218,0.3321,0.6043,0.3262,0.3262,0.2091,0.5236,0.4364,0.0691,0.4458,1,50.02,loss
word_chain,wc_7,1753.4,2393776.6,0.7664,0.2191,0.7255,0.6658,0.4416,0.4416,0.3435,0.6978,0.8662,0.0422,0.7376,4,82.27,win
word_chain,wc_8,5091.8,1419813.4,0.6402,0.2758,0.7217,0.5598,0.2795,0.2795,0.6084,0.5357,0.6778,0.0554,0.6229,2,65.89,win
word_chain,wc_9,4937.9,1949385.0,0.424,0.6344,0.4703,0.7344,0.305,0.305,0.3792,0.4975,0.4005,0.0221,0.3677,0,48.5,loss
word_chain,wc_10,3306.7,1694719.5,0.5354,0.5613,0.6266,0.5923,0.2392,0.2392,0.3003,0.8123,0.693,-0.0247,0.5521,2,58.77,win
word_chain,wc_11,7076.4,362971.9,0.3024,0.7277,0.2944,0.4643,0.4214,0.4214,0.3206,0.3148,0.2762,0.0245,0.4236,0,32.3,loss
word_chain,wc_12,6530.0,1274156.7,0.5036,0.3546,0.4311,0.6431,0.3086,0.3086,0.463,0.5872,0.378,0.0122,0.3527,1,52.33,loss
word_chain,wc_13,2035.4,2323510.9,0.9351,0.1168,0.6297,0.7612,0.5472,0.5472,0.4498,0.7431,0.8271,-0.0545,0.8799,4,87.18,win
word_chain,wc_14,4451.4,334861.4,0.7406,0.19,0.7368,0.9546,0.6036,0.6036,0.5496,0.7832,0.7556,-0.0642,1,2,85.45,win
word_chain,wc_15,3723.3,1532114.7,0.4698,0.5273,0.3189,0.664,0.2606,0.2606,0.3147,0.7413,0.2577,-0.0441,0.3394,1,43.65,loss
word_chain,wc_16,5284.1,475739.2,0.2631,0.729,0.4773,0.4386,0.1658,0.1658,0.5855,0.3139,0.3923,0.0432,0.1692,0,30.54,loss
word_chain,wc_17,2931.5,889993.3,0.4882,0.4903,0.4948,0.6239,0.2435,0.2435,0.2917,0.6004,0.5148,-0.007,0.6223,2,52.9,win
